artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Bernardo Strozzi,Italian,"Caravaggisti,Genoese school","{Baroque:59},",,,,,,1600,1644,
Charles Le Brun,,,,,,,,,1642,1684,
Ogata Kenzan,,,,,,,,,,,
Thomas Lawrence,British,,"{Rococo,Romanticism:203},",,,,,,1780,1831,
Arthur Streeton,Australian,Heidelberg School,"{Impressionism:26},",,,,,,1888,1926,
Anna Ancher,Danish,Skagen Painters,"{Impressionism,Realism,Symbolism:18},",,,,"Pierre Puvis de Chavannes,",,1882,1918,
Salvador Dali,Spanish,,"{Surrealism:1160},","Giorgio de Chirico,Arnold Böcklin,Pablo Picasso,Joan Miro,Yves Tanguy,Max Ernst,Jean-Francois Millet,Dada,High Renaissance,","Max Ernst,Jackson Pollock,Mark Rothko,Surrealism,Abstract Expressionism,Pop Art,Performance Art,Conceptual Art,",,,"Man Ray,Andy Warhol,",1910,1983,
Alexander Gardner,,,,,,,,,1860,1867,
Robert Henri,American,"Eight,Ashcan School","{New Realism (American Realism):263},","Edward Hopper,","Edward Hopper,","Edward Hopper,George Bellows,Rockwell Kent,","Parsons School of Design (Chase School, New York School of Art), New York City, NY, US,","John French Sloan,George Luks,William James Glackens,",1890,1928,
Maruyama Ōkyo,,,,,,,,,1759,1786,
Johan Christian Dahl,Norwegian,,"{Romanticism:16},",,"Knud Baade,",,,"Caspar David Friedrich,",1814,1848,
Gustave Le Gray,,,,,,,,,1848,1870,
Thomas Sully,American,,"{Romanticism:146},",,,,,,1807,1872,
Adolph Menzel,"German,Polish",,"{Realism:27},",,"Max Klinger,",,,,1845,1900,
August Macke,German,"Der Blaue Reiter (The Blue Rider),Der Sturm","{German Expressionism:1},{Der Blaue Reiter:1},{Modern art:1},{Expressionism:1},{Expressionism,Orphism (Simultanism):127},","Robert Delaunay,","Expressionism,",,,"Franz Marc,Paul Klee,",1903,1914,
Xu Beihong,Chinese,,"{Republic of China (1912–1949):97},",,,,,,1917,1953,
Federico Barocci,,,"{Baroque:1},",,,,,,1586,1858,
Jean-Marc Nattier,,,,,,,,,1727,1753,
Théodore Géricault,,,,,,,,,1812,1823,
