artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
José Francisco Pelletier de León,,,,,,,,,2013,2013,
Sunday Petro Pitelia,,,,,,,,,2013,2013,
Otieno Ondongo,,,,,,,,,2013,2013,
Ochie,,,,,,,,,2013,2013,
Joseph Mwalyombo,,,,,,,,,2013,2013,
Gao Feng,,,"{Contemporary Art:1},",,,,,,2012,2012,
Sarange Ramadhani,,,,,,,,,2013,2013,
Manami Koike,,,"{Contemporary Art:1},",,,,,,2013,2013,
Domingos António Ferreira,,,,,,,,,2015,2015,
Adjo Kisser,,,,,,,,,,,
NORLIE MEIMBAN,,,,,,,,,2016,2016,
Arun K S,,,,,,,,,,,
KIRBY ROXAS,,,,,,,,,2016,2016,
Alvin D. Loving,,,,,,,,,,,
Blaise Joseph,,,,,,,,,,,
Enriquillo Rodríguez Amiama,,,,,,,,,,,
Ian Woo,,,,,,,,,2009,2009,
Foziya Nour,,,"{Contemporary Art:2},",,,,,,2014,2014,
Erin Cooper,,,,,,,,,,,
Ommolbanin Shamsia Hassani,,,"{Contemporary Art:2},",,,,,,2013,2013,
Surendran Nair,,,,,,,,,1995,1995,
Léa Dray de Freitas,,,,,,,,,1998,1998,
Nahum Tevet,,,,,,,,,,,
Abdurrahman Yalçınkaya (Abdo),,,,,,,,,2016,2016,
Arlene Shechet,,,,,,,,,,,
Jiří David,,,,,,,,,,,
DON BRYAN BUNAG,,,,,,,,,2016,2016,
Teruhiro Ando,,,,,,,,,,,
Ferdinand Montemayor,,,,,,,,,2014,2014,
Tammy Tan,,,,,,,,,2014,2014,
Don Nice (b. 1932),,,,,,,,,,,
Cornelia Lochmann,,,,,,,,,2016,2016,
Renée Levi,,,,,,,,,2003,2003,
F.R. Doctolero,,,,,,,,,2014,2014,
Hamish Fulton,,,,,,,,,2002,2007,
Javier Arjona,,,"{Contemporary Art:2},",,,,,,2014,2014,
Jerson Samson,,,,,,,,,2014,2014,
Marcelo Pombo,,,,,,,,,,,
Federico Herrero,,,,,,,,,,,
Joseph-Francis Sumégné,,,"{Contemporary Art:1},",,,,,,2015,2015,
John M. Armleder,,,,,,,,,,,
Tan Chin Kuan,,,,,,,,,1989,1989,
Ahed Izhiman,,,"{Contemporary Art:2},",,,,,,2015,2015,
Federico Pietrella,,,,,,,,,2007,2013,
Andrea Joyce Heimer,,,,,,,,,,,
Gulammohammed Sheikh,,,,,,,,,2008,2008,
Cristiano Menchini,,,,,,,,,2016,2016,
Dibyendu Bhadra,,,"{Contemporary Art:2},",,,,,,2012,2012,
Ella Amitay Sadovsky,,,,,,,,,2013,2013,
Norberto Roldan,,,,,,,,,,,
Dante Lerma,,,,,,,,,2014,2017,
Irene Iribarren,,,,,,,,,,,
Gale Hart,,,,,,,,,,,
Tsang Chui-Mei,,,,,,,,,,,
Jaq Chartier,,,,,,,,,,,
Domenico Colantoni,,,,,,,,,1982,1982,
Teresa Ricca,,,,,,,,,,,
Merijn Hos (Netherlands),,,,,,,,,,,
Baua Devi,,,,,,,,,,,
Luisa Rabbia,,,,,,,,,2016,2016,
Bahar Oganer,,,,,,,,,2009,2009,
Carlos Muro,,,,,,,,,,,
Chun Kaifeng,,,,,,,,,2014,2014,
Cuca Arsuaga,,,,,,,,,,,
Stephen Antonakos,"American,Greek",,"{Post-Minimalism:21},",,,,,,1959,2008,
Ji Dachun,,,,,,,,,,,
Jeffrey Spedding,,,,,,,,,,,
Alma Woodsey Thomas,American,,"{Post-Painterly Abstraction:29},",,,,,,1958,1976,
Gaia & Mata Ruda (US),,,,,,,,,,,
Kumudini Perera David,,,,,,,,,2015,2015,
Randy Kemp,,,"{Contemporary Art:1},",,,,,,2014,2014,
Daniel Sanseviero,,,,,,,,,2016,2016,
Mangol Putra,,,,,,,,,2016,2016,
Pramila Bajracharya,,,,,,,,,2016,2016,
Sanjeet Maharjan,,,,,,,,,2016,2016,
Asha Dangol,,,,,,,,,2016,2016,
Bhairaj Maharjan,,,,,,,,,2016,2016,
Erina Tamrakar,,,,,,,,,2016,2016,
Wendell Gladstone,,,,,,,,,,,
Sudeep Balla,,,,,,,,,2016,2016,
Rémy Zaugg,,,,,,,,,1986,1993,
Kiran Kumar Ranjit,,,,,,,,,2016,2016,
Pérez Celiz,,,,,,,,,,,
Eduardo Sued,,,,,,,,,1985,1994,
Sunil Lama,,,,,,,,,2016,2016,
Andrea Baruffi,,,,,,,,,2011,2011,
Norval Morrisseau,,,,,,,,,1985,1985,
Gorbunov Andrey,,,,,,,,,2007,2008,
Rita Sarma,,,"{Contemporary Art:2},",,,,,,2015,2015,
Krystsina Lukyanchyk,,,,,,,,,,,
Tanzila Ahmed,,,,,,,,,2013,2013,
Thaweesak Srithongdee,,,,,,,,,2005,2005,
Max de Esteban,,,,,,,,,,,
Daniel Gálvez,,,,,,,,,,,
Daniel Alcala,,,"{Contemporary Art:1},",,,,,,2014,2014,
Costus,,,,,,,,,1988,1988,
Nobuaki Takekawa,,,,,,,,,2016,2016,
Carlos Gonzales,,,,,,,,,,,
Elvira Mateos,,,,,,,,,,,
Aidan Urquhart,,,,,,,,,,,
Gregorius Sidharta Soegijo,,,,,,,,,1971,1977,
Dadamaino,Italian,,"{Spatialism,Op Art:20},",,,,,,1958,1996,
Juan Carlos Macias Islas,,,,,,,,,,,
Tregubenko Maya,,,,,,,,,2007,2007,
Jaume Muxart,,,,,,,,,,,
Said Ali Mohammed Alalawi,,,,,,,,,2016,2016,
Manuel Bouzo,,,,,,,,,,,
Marco Palmieri,,,,,,,,,2013,2013,
Gonzalo Prieto Cordero,,,,,,,,,,,
Udona Boerema,,,,,,,,,2016,2016,
Siddharth Sengupta,,,"{Contemporary Art:2},",,,,,,2012,2012,
Sunil Dutt Mamgain,,,"{Contemporary Art:2},",,,,,,2012,2012,
Chizhov Aleksey,,,,,,,,,2009,2011,
Slonov Vasiliy,,,,,,,,,2013,2013,
José Tang,,,,,,,,,,,
Gordon Walters,,,,,,,,,,,
Shane Cotton,,,,,,,,,,,
Fabian Verschaere,,,,,,,,,,,
Bernard Akoi Jackson,,,,,,,,,,,
Lola Fernandez,,,,,,,,,,,
Hashan Cooray,,,,,,,,,2016,2016,
Chani Antoinette Perera,,,,,,,,,2015,2015,
Asanka Manjula May,,,,,,,,,2016,2016,
Malika Sanjeevani Kodikara,,,,,,,,,2016,2016,
Jazoo Yang (Korea),,,,,,,,,,,
Jager Justus,,,,,,,,,2008,2008,
Faley Aleksandr,,,,,,,,,2009,2009,
Herman Bailey,,,,,,,,,,,
Sonia Gutiérrez,,,,,,,,,,,
José Ignacio Iturburu,,,,,,,,,,,
Frederic Amat,,,,,,,,,,,
Joan-Pere Viladecans,,,,,,,,,,,
David Randal Davies,,,,,,,,,2015,2015,
Pat Hanly,,,,,,,,,,,
Lee Mingtze,,,,,,,,,2001,2001,
Wissem El-Abed,,,,,,,,,2014,2014,
Marcos Raya,,,,,,,,,,,
Francis Anim Sakyi,,,,,,,,,2014,2014,
Judith Salmon,,,,,,,,,2016,2016,
Kim Hong Hu,,,,,,,,,2013,2013,
Kang TaeHong,,,,,,,,,2013,2013,
Yu Chol,,,,,,,,,2013,2013,
Rhee,,,,,,,,,1974,1975,
Martha Peluffo,,,,,,,,,,,
Ángelo Stefano Bogni Silva,,,,,,,,,2016,2016,
Cristiana Palandri,,,,,,,,,2015,2015,
Laura Owens,,,,,,,,,2003,2003,
Sylvain Croci-Torti,,,,,,,,,2014,2014,
Raquel Coronado García,,,,,,,,,,,
Hector Duarte,,,,,,,,,,,
Simon Fensholm,,,,,,,,,2014,2014,
Lavar Munroe,,,,,,,,,,,
Josep Guinovart,,,,,,,,,,,
Ismail Zain,,,,,,,,,1986,1986,
Yun Suknam,,,,,,,,,1993,2003,
Jomike Tejido,,,,,,,,,2014,2014,
Noah Hook,,,,,,,,,,,
Filippo Minelli (Italy),,,,,,,,,,,
Ana Martínez Córdoba,,,,,,,,,,,
Sergi Aguilar,,,,,,,,,,,
Bongi Dhlomo Mautloa,,,,,,,,,,,
Felice Varini,,,,,,,,,,,
Gyung-su An,,,,,,,,,2014,2015,
Daniel Brunovský,,,,,,,,,2008,2008,
Yumi Karasumaru,,,,,,,,,2012,2016,
Jonathan Green,,,,,,,,,,,
Joan Hernández-Pijoan,,,,,,,,,,,
Rodrigo,,,,,,,,,,,
Julie Lluch,,,,,,,,,1988,1988,
Sujata Achrekar,,,"{Contemporary Art:2},",,,,,,2012,2012,
A.S. Chitrak,,,"{Contemporary Art:2},",,,,,,2012,2012,
Nilesh D. Bharti,,,"{Contemporary Art:2},",,,,,,2012,2012,
Arup Lodh,,,"{Contemporary Art:2},",,,,,,2012,2012,
Abhijit Dutta,,,"{Contemporary Art:2},",,,,,,2012,2012,
Miguel Ortiz Berrocal,,,,,,,,,,,
Quintana Martelo,,,,,,,,,1980,1980,
Paolo Scirpa,,,,,,,,,1985,1985,
Hariprasad c,,,,,,,,,,,
Layer Cake,,,,,,,,,,,
Omaira Trujillo,,,,,,,,,,,
Antonio Alcàsser,,,,,,,,,2003,2003,
Lai Chiu-Chen,,,,,,,,,2009,2009,
Raymond Legaspi,,,,,,,,,2014,2014,
Jasmin Siddiqui,,,,,,,,,,,
Martin Honasan,,,,,,,,,2014,2014,
Andrea Zucchi,,,,,,,,,,,
Made Griyawan,,,,,,,,,2014,2014,
Saldanha,,,,,,,,,,,
Christopher Deeton,,,,,,,,,2010,2010,
Vlady,,,,,,,,,,,
OX,,,,,,,,,,,
Susan Mains,,,,,,,,,,,
Ola Balogun,,,,,,,,,,,
Tyna Adebowale,,,,,,,,,,,
Alexej Kraščenič,,,,,,,,,2008,2008,
Nogueira,,,,,,,,,,,
Gaylord Chan,,,,,,,,,,,
DZIA,,,,,,,,,,,
Jakub Syrkowski,,,,,,,,,,,
Torey Thornton,,,,,,,,,,,
Kim Bong-tae,,,,,,,,,1988,1989,
Kura Te Waru Rewiri,,,,,,,,,,,
Batarda,,,,,,,,,,,
Gerzhedovich Yaroslav,,,,,,,,,2006,2008,
Sena,,,,,,,,,,,
Robert Gligorov,,,"{Contemporary Art:1},",,,,,,2014,2014,
Alberto Ibáñez,,,,,,,,,1998,1998,
Michael Vinson Clark,,,,,,,,,1978,1978,
Stephen Osuchukwu,,,,,,,,,,,
Mariabelén Pérez,,,,,,,,,2016,2016,
Jimmy Marshall,,,"{Contemporary Art:1},",,,,,,2012,2012,
Sangeeta Reddy,,,,,,,,,,,
Shahpour Pouyan,,,,,,,,,,,
Sousa,,,,,,,,,,,
Ryota Unno,,,"{Contemporary Art:1},",,,,,,2013,2013,
Morais,,,,,,,,,,,
Benjamín Moncloa,,,,,,,,,,,
Ivan Tuzov. St. Petersburg,,,,,,,,,2014,2014,
Tano Festa,Italian,,"{Pop Art:42},",,,,,,1960,1987,
Chou Chu-Wang,,,,,,,,,2008,2008,
Mehmet Gün,,,,,,,,,,,
Carles Amill,,,,,,,,,1988,1988,
Kmar Garbaa Ben Abdallah,,,,,,,,,2013,2013,
Vane Kosturanov,,,,,,,,,2015,2015,
Basel El-Maqousi,,,"{Contemporary Art:1},",,,,,,2015,2015,
Ahmed Mohammed El-Ganainy,,,"{Contemporary Art:1},",,,,,,2014,2014,
Abdalaziz Ahmad,,,"{Contemporary Art:1},",,,,,,2014,2014,
Aleksandar Zafirovski,,,,,,,,,2015,2015,
Khitam Heibi,,,"{Contemporary Art:1},",,,,,,2016,2016,
Tasneem Abu Salah,,,"{Contemporary Art:1},",,,,,,2015,2015,
Maya Vonmoos,,,"{Contemporary Art:1},",,,,,,2015,2015,
Layla Hamdieh,,,"{Contemporary Art:1},",,,,,,2015,2015,
Nehat Beqiri,,,,,,,,,2015,2015,
YU Youhan,,,,,,,,,1994,1994,
WANG Ziwei,,,,,,,,,1988,1988,
Joshua Badegadega Kauke,,,"{Contemporary Art:1},",,,,,,2015,2015,
Wolfgang Ganter,,,"{Contemporary Art:1},",,,,,,2015,2015,
Judith Baca,,,,,,,,,,,
Min-gyu Song,,,,,,,,,2015,2015,
Kopeikin Nicolay,,,,,,,,,2005,2008,
Goh Ee Choo,,,,,,,,,1988,1988,
Tola Wewe,,,,,,,,,2014,2014,
Wosene Worke Kosrof,,,,,,,,,2005,2005,
Pham Binh Chuong,,,"{Contemporary Art:1},",,,,,,2015,2015,
Jeffry Feeger,,,"{Contemporary Art:1},",,,,,,2015,2015,
Jhabindra Gurung,,,,,,,,,2016,2016,
Claude Tousignant,Canadian,Nouveaux Plasticiens,"{Post-Painterly Abstraction,Op Art:16},",,,,,,1955,2008,
Sameer Khalili,,,,,,,,,2015,2015,
Furkan “Nuka” Birgün,,,"{Contemporary Art:1},",,,,,,2015,2015,
Sabino Guisu,,,"{Contemporary Art:1},",,,,,,2014,2014,
José Del Palo,,,,,,,,,2014,2014,
Joseph Delord Nyah,,,"{Contemporary Art:1},",,,,,,2015,2015,
Donald Onuoha,,,,,,,,,,,
Robert Kushner,,,,,,,,,,,
Roth,,,,,,,,,,,
JUNG Boc-Su,,,,,,,,,1983,1983,
Chang,,,,,,,,,1959,2004,
Meiling,,,,,,,,,,,
Rubén Aníbal Rodriguez,,,,,,,,,,,
A. van Goethem,,,,,,,,,,,
Dolce & Gabbana,,,,,,,,,1990,1990,
Bon Marché,,,,,,,,,,,
Sa'di,,,,,,,,,,,
Josef Ritter von Storck|Rodeck Brothers (Gebrüder Rodeck),,,,,,,,,,,
Joseph Bechonnet,,,,,,,,,,,
Thomas Chippendale,,,,,,,,,,,
B. Altman & Co.,,,,,,,,,,,
MÆYA,,,,,,,,,,,
Louise Hederström and Studio Carina Grefmar,,,,,,,,,2016,2016,
Atsugewi or Paiute,,,,,,,,,,,
Bernardo,,,,,,,,,,,
Bally of England,,,,,,,,,1961,1961,
Mr. P.W. Meadows,,,,,,,,,1926,1930,
Balfour,,,,,,,,,,,
UNEINS,,,,,,,,,,,
Valentina Tinganelli,,,,,,,,,,,
Mir 'Ali al-Husaini|Maulana Nur al-Din `Abd al-Rahman Jami,,,,,,,,,,,
Manuel de Boada Guittierrez,,,,,,,,,,,
Danish Fashion Institute,,,,,,,,,,,
Fang people?,,,,,,,,,,,
Norvic Shoe Co Ltd,,,,,,,,,1914,1918,
David White Co.,,,,,,,,,,,
Eagle Lock Co.,,,,,,,,,,,
Forquin,,,,,,,,,,,
Qasim 'Ali of Shiraz,,,,,,,,,,,
Mir 'Ali al-Husaini|Sa'di,,,,,,,,,,,
Joel Ellis,,,,,,,,,,,
Montanari,,,,,,,,,,,
J. Whitney,,,,,,,,,,,
C. & H. White,,,,,,,,,,,
Robert Reid,,,,,,,,,,,
Sultan Muhammad Nur,,,,,,,,,,,
Bav Tailor,,,,,,,,,,,
John G. Pike,,,,,,,,,,,
Pierre le Petit,,,,,,,,,,,
Estiennes Michallet,,,,,,,,,,,
Muhi al-Din Lari,,,,,,,,,,,
Original design by John Folwell,,,,,,,,,,,
C. H. Perry,,,,,,,,,1840,1840,
Lauren Moseley,,,,,,,,,,,
Jan Jansen,,,,,,,,,1995,1995,
Suh Kyung Hee,,,,,,,,,,,
Artist: Ito Chuta,,,,,,,,,,,
E. Bertrand (of F.),,,,,,,,,,,
van Schijndel,,,,,,,,,,,
FIFA,,,,,,,,,,,
Carl Bergsten,,,,,,,,,,,
John Bailey,,,,,,,,,,,
Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja),,,,,,,,,,,
George G. Smith,,,,,,,,,1826,1826,
Winston Strick,,,,,,,,,,,
H.J. van Gaver,,,,,,,,,,,
Lorenzo Mosca,,,,,,,,,,,
Terése McCoy,,,,,,,,,,,
Abraham and David Roentgen,,,,,,,,,,,
Gudes,,,,,,,,,,,
Charles Christie (b. 1759),,,,,,,,,,,
Hasan 'Ali,,,,,,,,,,,
John N. Genin,,,,,,,,,,,
Master of François de Rohan,,,,,,,,,,,
French or Italian,,,,,,,,,,,
Muhammad Baha' al-Din al-'Amili,,,,,,,,,,,
Matías Conci,,,,,,,,,,,
Acervo Mário Américo,,,,,,,,,1948,1979,
Ulrich Holzmann|Desiderius Helmschmid,,,,,,,,,,,
Barker Black,,,,,,,,,,,
Préville,,,,,,,,,,,
Possibly Lehany,,,,,,,,,,,
Joseph Deutschmann,,,,,,,,,,,
Dorndorf,,,,,,,,,,,
Laurent Guyot,,,,,,,,,,,
Ejagham People,,,,,,,,,,,
Thomas Ratcliffe,,,,,,,,,,,
Veronique Branqhuino,,,,,,,,,,,
Giovanni Pietro da Cemmo,,,,,,,,,,,
Olga Noronha,,,,,,,,,,,
I.F.,,,,,,,,,,,
Sultan Muhammad Nur|Mahmud Muzahhib|Shaikh Zada|Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja),,,,,,,,,,,
Borsley,,,,,,,,,,,
Taylor Jannotte,,,,,,,,,,,
De La Vieville a Dieppe,,,,,,,,,,,
Farid al-Din `Attar,,,,,,,,,,,
Emily Kauffelt,,,,,,,,,,,
diverse vervaardigers,,,,,,,,,,,
Fabio Mauri,,,,,,,,,1972,1972,
Cano de Aranda,,,,,,,,,,,
Ibrahim Sultan,,,,,,,,,,,
Artist: Mir Muhammad Sahhaf,,,,,,,,,,,
Georg Metzner,,,,,,,,,,,
Gilles Joubert,,,,,,,,,,,
Fa. E. Petitpierre,,,,,,,,,,,
Paris,,,,,,,,,,,
Anonymous Cordwainer College student,,,,,,,,,,,
Guzpeña,,,,,,,,,,,
Tran The Vinh,,,"{Contemporary Art:1},",,,,,,2015,2015,
Martin Fasting,,,,,,,,,2014,2014,
Nicole Katsuras - Canary Shore,,,,,,,,,2015,2015,
Ali Sheikh Ahmed,,,"{Contemporary Art:1},",,,,,,2015,2015,
Françoise Spiess,,,,,,,,,2016,2016,
Bananensprayer,,,,,,,,,,,
Joaquín Fernández Igual,,,,,,,,,,,
Nabil Abu Ghanima,,,"{Contemporary Art:1},",,,,,,2015,2015,
Ahmad Yaseen,,,"{Contemporary Art:1},",,,,,,2015,2015,
Magdi Adam Suliman,,,,,,,,,,,
Wang Guangle,,,,,,,,,2012,2012,
Rania Andon,,,"{Contemporary Art:1},",,,,,,2016,2016,
Vicente Molina Pacheco,,,,,,,,,,,
Sheyne Tuffery,,,"{Contemporary Art:2},",,,,,,2016,2016,
William Haines,,,,,,,,,,,
Patrick Cox,,,,,,,,,,,
Halston for  ,,,,,,,,,,,
O. Rovinetti,,,,,,,,,,,
Sport Ilustrado Newspaper,,,,,,,,,,,
Omar Ali Food,,,,,,,,,2014,2014,
TANAKA Atsuko,,,,,,,,,1965,1969,
Philemon Yalamu,,,"{Contemporary Art:1},",,,,,,2015,2015,
Azizullah Hazara,,,"{Contemporary Art:1},",,,,,,2013,2013,
Francis Sanda Ademola,,,,,,,,,2014,2014,
Pamela Ivankovic,,,,,,,,,2014,2014,
Lukas Feireiss,,,"{Contemporary Art:1},",,,,,,2015,2015,
Mufu Onifade,,,,,,,,,2014,2014,
Abraham Tokwadogia Moyouwa,,,"{Contemporary Art:1},",,,,,,2015,2015,
Wil Jansen,,,,,,,,,2016,2016,
Saad Al Melhem,,,"{Contemporary Art:1},",,,,,,2014,2014,
Hamed Aljabri,,,,,,,,,2016,2016,
Roxy In The Box,,,,,,,,,2015,2015,
Moses Minipa,,,"{Contemporary Art:1},",,,,,,2015,2015,
Elmostafa Timija,,,,,,,,,2013,2013,
Dedron,,,"{Contemporary Art:1},",,,,,,2013,2013,
Ketshotseng Sentsho,,,"{Contemporary Art:1},",,,,,,2015,2015,
Paula David Constantinou,,,"{Contemporary Art:1},",,,,,,2015,2015,
Hoang Phuc Quy,,,"{Contemporary Art:1},",,,,,,2015,2015,
Benpa Chundak (Benchung),,,"{Contemporary Art:1},",,,,,,2013,2013,
Chuma ArguiñÁRiz,,,,,,,,,2014,2014,
Elio Bajramaj,,,,,,,,,2015,2015,
Richard Maly,,,,,,,,,2016,2016,
William Tagne Njepe,,,"{Contemporary Art:1},",,,,,,2015,2015,
Bakhrom Ismatov,,,"{Contemporary Art:2},",,,,,,2015,2015,
Deborah Ngiesi,,,,,,,,,2014,2014,
Masari Arifin,,,"{Contemporary Art:1},",,,,,,2015,2015,
Namdrol Gyaltsen,,,"{Contemporary Art:1},",,,,,,2013,2013,
Fatima Aijou,,,,,,,,,2013,2013,
Þórdís Ásgeirsdóttir,,,"{Contemporary Art:1},",,,,,,2013,2013,
Kuanysh Bazargaliev,,,,,,,,,2015,2015,
Zahra Mohammady,,,"{Contemporary Art:1},",,,,,,2013,2013,
Aigerim Ospanova,,,,,,,,,2015,2015,
Asel Kalieva,,,,,,,,,2015,2015,
Adnan Safiallah,,,"{Contemporary Art:1},",,,,,,2014,2014,
Abdullah Hamas,,,"{Contemporary Art:1},",,,,,,2014,2014,
Najzil Layin,,,"{Contemporary Art:1},",,,,,,2015,2015,
Valentine Ani Buchukwu,,,,,,,,,2014,2014,
Kelani Abass,,,,,,,,,2014,2014,
Jette Bille,,,,,,,,,2014,2014,
Arnoldo DíAz,,,,,,,,,2016,2016,
Binita Ghimire,,,,,,,,,2016,2016,
Aung Naing Maung,,,,,,,,,2016,2016,
Jean-Paul Donadini,,,,,,,,,2016,2016,
Steven Arpad,,,,,,,,,,,
Dosho,,,,,,,,,,,
Eastern Cape,,,,,,,,,,,
Swoboda,,,,,,,,,1905,1910,
Mónica Batard Lorenzo,,,"{Contemporary Art:1},",,,,,,2013,2013,
Ana Guberina,,,,,,,,,2014,2014,
Hanan Sindi,,,"{Contemporary Art:1},",,,,,,2014,2014,
Simon Izrael Varcilli,,,"{Contemporary Art:1},",,,,,,2015,2015,
Alberto FlóRes SoláNo,,,,,,,,,2016,2016,
Telmen Bayasgalan,,,,,,,,,2013,2013,
Erna Ingólfsdóttir,,,"{Contemporary Art:1},",,,,,,2013,2013,
Yousuf Al Fowri,,,,,,,,,2016,2016,
Louise Vien,,,"{Contemporary Art:1},",,,,,,2014,2014,
Muna Mohammed Al Balushi,,,,,,,,,2016,2016,
Jan Bujnowski,,,,,,,,,2015,2015,
Joseph Wiyono,,,"{Contemporary Art:1},",,,,,,2015,2015,
Boris Hodak,,,,,,,,,2015,2015,
Dellbrügge & de Moll (Christiane Dellbrügge & Ralf de Moll),,,"{Contemporary Art:1},",,,,,,2015,2015,
Saeed Al Alawi,,,"{Contemporary Art:1},",,,,,,2014,2014,
Omphile Steve Bapalanga,,,"{Contemporary Art:1},",,,,,,2015,2015,
Dalida Karić-Hadžiahmetovic,,,,,,,,,2013,2013,
Elsa Martini,,,,,,,,,2015,2015,
Tserang Dhundrup,,,"{Contemporary Art:1},",,,,,,2013,2013,
Yahya Houssein Ibrahim,,,,,,,,,2014,2014,
Abdulla Khamis Al Balushi,,,,,,,,,2016,2016,
Claire Tawake Janget,,,"{Contemporary Art:1},",,,,,,2015,2015,
Michele Manuel,,,,,,,,,2016,2016,
Clement Koys,,,"{Contemporary Art:1},",,,,,,2015,2015,
Tay Zar Lynn,,,,,,,,,2016,2016,
Yldemary Vizcaya,,,,,,,,,2016,2016,
Gani Llalloshi,,,,,,,,,2016,2016,
Pavel Šmíd,,,,,,,,,2016,2016,
Emile Louisius,,,,,,,,,2016,2016,
Poyap Rooney,,,"{Contemporary Art:1},",,,,,,2015,2015,
ÁNgel Mieres,,,,,,,,,2016,2016,
Abdelali Belal,,,,,,,,,2013,2013,
Myda Schmidt,,,"{Contemporary Art:1},",,,,,,2015,2015,
Ósk Laufey Óttarsdóttir,,,"{Contemporary Art:1},",,,,,,2013,2013,
Santiago X,,,"{Contemporary Art:1},",,,,,,2014,2014,
Heinrich Dunst,,,"{Contemporary Art:1},",,,,,,2013,2013,
Anwar Sulaiman Al Zadjali,,,,,,,,,2016,2016,
Chris Ilunga Mukunya,,,,,,,,,2014,2014,
Min Zayar Oo,,,,,,,,,2016,2016,
Ali Eleyeh Robleh,,,,,,,,,2014,2014,
Jean Rajerisaona,,,"{Contemporary Art:1},",,,,,,2013,2013,
Richianny Raherinjatovo,,,"{Contemporary Art:1},",,,,,,2013,2013,
FèLix Coll Carrera,,,,,,,,,2014,2014,
Liban Djama Mahamoud,,,,,,,,,2014,2014,
Tahera Afzali,,,"{Contemporary Art:1},",,,,,,2013,2013,
Kyaw Lin,,,,,,,,,2015,2015,
Naif Arab,,,"{Contemporary Art:1},",,,,,,2014,2014,
Marlon Madon Kuelinad,,,"{Contemporary Art:1},",,,,,,2015,2015,
Fatima Rajab,,,"{Contemporary Art:1},",,,,,,2014,2014,
Ang Sang,,,"{Contemporary Art:1},",,,,,,2013,2013,
Johann Sayller,,,,,,,,,,,
Bruce Mathias,,,"{Contemporary Art:1},",,,,,,2015,2015,
Raparivo Andriantiana Ramaheninarivo,,,"{Contemporary Art:1},",,,,,,2013,2013,
Ian Jeva,,,"{Contemporary Art:1},",,,,,,2015,2015,
Dawa,,,"{Contemporary Art:1},",,,,,,2013,2013,
Miodrag Manojlovic,,,,,,,,,2015,2015,
Esmir Prlja,,,,,,,,,2013,2013,
Tenzin Norbu,,,"{Contemporary Art:1},",,,,,,2013,2013,
John Siune,,,"{Contemporary Art:1},",,,,,,2015,2015,
Min Wae Aung,,,,,,,,,1996,2016,
I Made Suartama,,,"{Contemporary Art:1},",,,,,,2015,2015,
Sabri Sultan,,,,,,,,,2015,2015,
Anna Björg Þorbergsdóttir,,,"{Contemporary Art:1},",,,,,,2013,2013,
Tamalar,,,,,,,,,2016,2016,
Milagro Quiroa,,,"{Contemporary Art:1},",,,,,,2016,2016,
Zatovo Andria,,,"{Contemporary Art:1},",,,,,,2013,2013,
Susan E. Robinson,,,"{Contemporary Art:1},",,,,,,2015,2015,
Tamare Silas Mc Kinnau,,,"{Contemporary Art:1},",,,,,,2015,2015,
Le Hai Trieu,,,"{Contemporary Art:1},",,,,,,2015,2015,
Altanchimeg Chagdgavaa,,,,,,,,,2013,2013,
Mostafa Elarji,,,,,,,,,2013,2013,
Walid Mohamed Bouchouchi,,,,,,,,,2014,2014,
Matthew Bearden,,,"{Contemporary Art:1},",,,,,,2014,2014,
Ellisif Malmo Bjarnadóttir,,,"{Contemporary Art:1},",,,,,,2013,2013,
Frank Buffalo Hyde,,,"{Contemporary Art:1},",,,,,,2014,2014,
Chyngyz Ormonbekov,,,"{Contemporary Art:1},",,,,,,2015,2015,
Mai Al Turki,,,"{Contemporary Art:1},",,,,,,2014,2014,
SinišA Reberski,,,,,,,,,2013,2013,
Vojislav Radovanovic,,,"{Contemporary Art:1},",,,,,,2015,2015,
Mickaël Doucet,,,,,,,,,2016,2016,
Amacho Ebenezer Sunday,,,,,,,,,2014,2014,
Zuhair Milbary,,,"{Contemporary Art:1},",,,,,,2014,2014,
Dmitriy Mussikhin,,,,,,,,,2015,2015,
Mohammed Hussain Al Hajri,,,,,,,,,2016,2016,
Syamsul Abidin,,,"{Contemporary Art:1},",,,,,,2015,2015,
Evince Ngoma,,,"{Contemporary Art:1},",,,,,,2015,2015,
Osman Doualeh Bouh,,,,,,,,,2014,2014,
Nathalie Bertin,,,"{Contemporary Art:1},",,,,,,2014,2014,
Noureddine El Hiba,,,,,,,,,2013,2013,
Jasmine Dewi,,,"{Contemporary Art:1},",,,,,,2015,2015,
Vanessa Craan,,,,,,,,,2016,2016,
Ahmad Reza Amiri,,,"{Contemporary Art:1},",,,,,,2013,2013,
Abdulrahman Al Maghrabi,,,"{Contemporary Art:1},",,,,,,2014,2014,
Abdullah Attar,,,"{Contemporary Art:1},",,,,,,2014,2014,
Geoff Tune,,,"{Contemporary Art:1},",,,,,,2016,2016,
Ibrahim Bougas,,,"{Contemporary Art:1},",,,,,,2014,2014,
Teresa Bujnowska,,,,,,,,,2015,2015,
Dmitriy Ermolaev,,,"{Contemporary Art:1},",,,,,,2015,2015,
